platform_id,contact_mail,website
3,caronni@comcast.net,1688.com
13,null,webs.com
21,eurohack@outlook.com,null
0,kmiller@yahoo.com,wix.com
4,ninenine@me.com,marketwatch.com
5,animats@yahoo.com,paginegialle.it
6,seurat@yahoo.ca,foxnews.com
7,ylchang@me.com,indiegogo.com
8,rsteiner@optonline.net,zimbio.com
9,unreal@hotmail.com,phoca.cz
10,clkao@gmail.com,gnu.org
11,tarreau@sbcglobal.net,smugmug.com
12,chronos@aol.com,bbb.org
1,crandall@comcast.net,purevolume.com
14,jdhedden@msn.com,ft.com
15,crypt@hotmail.com,about.me
16,simone@msn.com,patch.com
17,null,facebook.com
18,hermanab@sbcglobal.net,intel.com
19,goldberg@aol.com,a8.net
20,daveewart@yahoo.com,devhub.com
2,hikoza@icloud.com,meetup.com
22,rhialto@me.com,null
23,gtaylor@yahoo.com,slate.com
24,mschilli@optonline.net,github.com
25,kodeman@icloud.com,imgur.com
26,mastinfo@comcast.net,gnu.org
27,improv@optonline.net,amazon.com
28,andersbr@att.net,epa.gov
29,null,storify.com
30,greear@live.com,wsj.com
31,danny@me.com,chron.com
32,agolomsh@outlook.com,reverbnation.com
33,mchugh@icloud.com,archive.org
34,andrei@optonline.net,storify.com
35,null,auda.org.au
36,claesjac@yahoo.com,pbs.org
37,scotfl@hotmail.com,dion.ne.jp
38,thurston@icloud.com,hhs.gov
39,kenja@live.com,princeton.edu
40,knorr@me.com,discovery.com
41,tokuhirom@outlook.com,mac.com
42,dbindel@yahoo.com,loc.gov
43,bhima@hotmail.com,ed.gov
44,webinc@att.net,bloomberg.com
45,sburke@hotmail.com,newsvine.com
46,parasite@comcast.net,is.gd
47,wildfire@yahoo.ca,eepurl.com
48,lishoy@me.com,free13runpool.com
49,uraeus@outlook.com,ft.com
50,tangsh@verizon.net,auda.org.au
51,grady@msn.com,ft.com
52,jgoerzen@live.com,dailymotion.com
53,rattenbt@yahoo.ca,null
54,murdocj@mac.com,ezinearticles.com
55,mcraigw@sbcglobal.net,devhub.com
56,dkrishna@gmail.com,intel.com
57,mirod@hotmail.com,null
58,mavilar@yahoo.com,smugmug.com
59,eimear@aol.com,hhs.gov
60,heckerman@live.com,spiegel.de
61,murdocj@verizon.net,bravesites.com
62,fbriere@sbcglobal.net,comsenz.com
63,null,mac.com
64,lstein@live.com,furl.net
65,null,usatoday.com
66,malattia@msn.com,scientificamerican.com
67,grady@verizon.net,deviantart.com
68,rogerspl@yahoo.com,yandex.ru
69,jdhildeb@aol.com,null
70,kildjean@msn.com,about.me
71,dialworld@msn.com,free13runpool.com
72,rhialto@hotmail.com,typepad.com
73,drjlaw@me.com,opensource.org
74,roesch@sbcglobal.net,msu.edu
75,tkrotchko@verizon.net,csmonitor.com
76,petersko@gmail.com,addtoany.com
77,punkis@msn.com,nih.gov
78,pontipak@optonline.net,null
79,aukjan@yahoo.com,redcross.org
80,plover@outlook.com,wordpress.org
81,kewley@att.net,null
82,scottlee@comcast.net,phoca.cz
83,jacks@icloud.com,null
84,scottlee@me.com,zdnet.com
85,isaacson@icloud.com,privacy.gov.au
86,balchen@att.net,about.com
87,caronni@gmail.com,google.fr
88,world@yahoo.com,mapquest.com
89,violinhi@me.com,phoca.cz
90,andale@optonline.net,null
91,tamas@optonline.net,sohu.com
92,heroine@comcast.net,infoseek.co.jp
93,killmenow@sbcglobal.net,harvard.edu
94,matloff@hotmail.com,null
